,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,8,PF,1554691947,100,-23.12,-134.97,77.22,5.73
1,Provideniya,40,RU,1554690600,61,64.42,-173.23,17.6,15.66
2,Ponta do Sol,92,BR,1554691956,96,-20.63,-46.0,66.6,2.37
3,Leningradskiy,8,RU,1554692177,97,69.38,178.42,4.32,3.38
4,Emerald,0,AU,1554691681,48,-23.53,148.16,82.99,8.05
5,Cape Town,75,ZA,1554691928,93,-33.93,18.42,57.99,11.41
6,Raudeberg,0,NO,1554692104,44,61.99,5.14,37.99,6.93
7,Holstebro,0,DK,1554692105,86,56.36,8.62,42.01,6.93
8,Dikson,44,RU,1554691950,100,73.51,80.55,15.03,8.75
9,Saint-Philippe,90,CA,1554692038,61,45.36,-73.48,46.4,3.36
10,Tautira,20,PF,1554691944,62,-17.73,-149.15,89.6,8.05
11,Mataura,48,NZ,1554691806,49,-46.19,168.86,68.0,11.21
12,Ushuaia,40,AR,1554688800,100,-54.81,-68.31,39.2,13.87
13,West Wendover,1,US,1554688560,25,40.74,-114.07,66.2,9.17
14,Cidreira,64,BR,1554692098,96,-30.17,-50.22,67.68,9.53
15,Yellowknife,90,CA,1554691926,86,62.45,-114.38,30.2,12.75
16,Sao Filipe,0,CV,1554692114,97,14.9,-24.5,71.19,14.45
17,Lazaro Cardenas,5,MX,1554687840,22,28.39,-105.62,69.8,6.93
18,Busselton,0,AU,1554691918,39,-33.64,115.35,66.99,14.45
19,Hermanus,20,ZA,1554691622,97,-34.42,19.24,61.0,4.0
20,Provost,0,CA,1554692227,50,52.35,-110.26,42.48,7.4
21,Constitucion,20,MX,1554687960,14,23.99,-104.67,68.0,6.93
22,Atuona,76,PF,1554691945,99,-9.8,-139.03,82.71,11.32
23,Vilhena,44,BR,1554692228,90,-12.74,-60.15,70.11,3.15
24,Arraial do Cabo,0,BR,1554691949,82,-22.97,-42.02,80.73,18.92
25,New Norfolk,0,AU,1554691935,38,-42.78,147.06,62.01,16.11
26,Reinosa,8,ES,1554692171,54,43.0,-4.14,57.2,10.29
27,Dingle,0,PH,1554692107,61,11.0,122.67,88.02,11.21
28,Kodiak,1,US,1554692021,82,39.95,-94.76,61.0,5.82
29,Bambous Virieux,75,MU,1554688800,78,-20.34,57.76,80.6,13.87
30,Vaini,0,IN,1554688800,69,15.34,74.49,73.4,3.15
31,Yantal,56,RU,1554692229,70,56.85,105.25,33.03,7.18
32,Malangwa,92,CD,1554692229,99,-2.84,17.57,72.9,2.93
33,Butaritari,80,KI,1554691964,100,3.07,172.79,81.45,16.02
34,Novoagansk,0,RU,1554692229,82,61.94,76.66,32.22,6.62
35,Ostrovnoy,76,RU,1554692160,85,68.05,39.51,24.48,7.96
36,Ahuimanu,75,US,1554692017,54,21.44,-157.84,80.6,8.05
37,Chimbarongo,0,CL,1554688800,59,-34.71,-71.04,62.6,3.36
38,Esperance,20,TT,1554691808,78,10.24,-61.45,77.0,3.36
39,Katangli,48,RU,1554692187,86,51.71,143.23,35.1,8.63
40,Kisangani,88,CD,1554692230,99,0.52,25.21,74.7,2.37
41,Castro,36,CL,1554688800,100,-42.48,-73.76,57.2,4.7
42,Kargasok,0,RU,1554692231,79,59.06,80.87,33.84,4.94
43,Matamoros,40,US,1554692121,73,25.87,-97.51,75.0,3.36
44,Yar-Sale,0,RU,1554692161,74,66.83,70.83,15.66,4.38
45,Port Elizabeth,75,US,1554691942,71,39.31,-74.98,61.0,4.7
46,Koumac,64,NC,1554692231,73,-20.56,164.28,78.66,11.88
47,Hithadhoo,88,MV,1554691967,100,-0.6,73.08,84.42,4.94
48,Laguna,5,MX,1554687900,46,27.52,-110.01,73.4,8.05
49,Punta Arenas,75,CL,1554691347,75,-53.16,-70.91,42.8,2.24
50,Nacala,48,MZ,1554692232,93,-14.56,40.69,82.62,13.44
51,Grand Gaube,75,MU,1554688800,78,-20.01,57.66,80.6,13.87
52,Kapaa,90,US,1554691643,83,22.08,-159.32,75.2,19.46
53,Hilo,1,US,1554691657,61,19.71,-155.08,80.6,10.29
54,Aklavik,75,CA,1554688800,56,68.22,-135.01,14.0,6.93
55,Jamestown,0,AU,1554691966,42,-33.21,138.6,71.64,11.43
56,Xuddur,0,SO,1554692233,77,4.12,43.89,71.28,8.75
57,Meadow Lake,8,CA,1554692233,82,54.13,-108.44,37.08,7.18
58,Barrow,0,AR,1554692128,46,-38.31,-60.23,66.69,13.22
59,Flin Flon,88,CA,1554692153,85,54.77,-101.88,28.53,6.96
60,Mahebourg,75,MU,1554688800,78,-20.41,57.7,80.6,13.87
61,Viransehir,56,TR,1554692108,96,37.24,39.76,51.03,2.48
62,Abbeville,90,FR,1554692177,100,50.11,1.83,50.0,2.24
63,Cherskiy,0,RU,1554692091,72,68.75,161.3,21.87,2.71
64,Urucara,56,BR,1554692234,97,-2.54,-57.76,74.52,2.71
65,Hami,88,CN,1554692234,50,42.84,93.51,49.5,9.19
66,Narsaq,88,GL,1554688200,86,60.91,-46.05,30.2,3.36
67,Port Shepstone,12,ZA,1554692235,96,-30.74,30.45,67.32,8.75
68,Bredasdorp,68,ZA,1554691622,88,-34.53,20.04,64.4,7.96
69,Pierre,1,US,1554692043,54,44.37,-100.35,57.99,6.93
70,Faanui,68,PF,1554692090,98,-16.48,-151.75,85.23,16.13
71,Bluff,0,AU,1554691934,43,-23.58,149.07,84.78,10.54
72,Ribeira Grande,92,PT,1554692078,99,38.52,-28.7,59.13,14.67
73,Inhambane,80,MZ,1554692235,91,-23.87,35.38,77.76,7.63
74,Belyy Yar,0,RU,1554690600,68,53.6,91.39,32.0,2.24
75,Surt,0,LY,1554691990,100,31.21,16.59,55.62,6.96
76,Pisco,0,PE,1554688800,100,-13.71,-76.2,71.6,3.36
77,Brindisi,40,IT,1554692034,87,40.63,17.94,52.0,4.7
78,Ierapetra,40,GR,1554692063,87,35.01,25.74,57.0,9.17
79,Ergani,75,TR,1554690000,93,38.27,39.76,52.0,3.36
80,Lebu,40,ET,1554688800,76,8.96,38.73,57.2,5.82
81,Takoradi,92,GH,1554692237,98,4.89,-1.75,81.36,5.61
82,Victoria,75,BN,1554688800,74,5.28,115.24,87.8,4.7
83,Waddan,0,LY,1554692192,89,29.16,16.14,54.18,4.94
84,Grindavik,75,IS,1554691917,74,63.84,-22.43,35.6,12.75
85,Tuktoyaktuk,75,CA,1554688800,84,69.44,-133.03,6.8,6.93
